Порядковый индекс,ID_маршрута,Номер_маршрута,ID_остановки,Координаты
552,1117,21,16215,"59.986512368433978,30.3003044"
553,1117,21,16215,"59.986512368433978,30.3003044"
554,1117,21,16221,"59.987294734778892,30.3054028"
555,1117,21,16221,"59.987294734778892,30.3054028"
556,1117,21,28048,"59.988394799402805,30.3090801"
557,1117,21,28048,"59.988394799402805,30.3090801"
558,1117,21,16231,"59.990557242212603,30.3158054"
559,1117,21,16231,"59.990557242212603,30.3158054"
560,1117,21,16977,"59.993419784858546,30.3255997"
561,1117,21,16977,"59.993419784858546,30.3255997"
562,1117,21,16242,"59.994673350266666,30.3304119"
563,1117,21,16242,"59.994673350266666,30.3304119"
564,1117,21,16152,"59.994061944188644,30.3312988"
565,1117,21,16152,"59.994061944188644,30.3312988"
566,1117,21,36600,"59.99065972414683,30.3326588"
567,1117,21,36600,"59.99065972414683,30.3326588"
568,1117,21,16154,"59.988405048280171,30.3345089"
569,1117,21,16154,"59.988405048280171,30.3345089"
570,1117,21,16520,"59.991028656482165,30.3517723"
571,1117,21,16520,"59.991028656482165,30.3517723"
572,1117,21,16702,"59.991831411703636,30.3543797"
573,1117,21,16702,"59.991831411703636,30.3543797"
574,1117,21,16524,"59.993662303942486,30.3587971"
575,1117,21,16524,"59.993662303942486,30.3587971"
576,1117,21,16528,"59.997142769339632,30.3643513"
577,1117,21,16528,"59.997142769339632,30.3643513"
578,1117,21,16406,"59.998730887536858,30.3610172"
579,1117,21,16406,"59.998730887536858,30.3610172"
580,1117,21,16411,"59.999827156910271,30.3533401"
581,1117,21,16411,"59.999827156910271,30.3533401"
582,1117,21,16414,"60.000547737862675,30.3482895"
583,1117,21,16414,"60.000547737862675,30.3482895"
584,1117,21,16417,"60.001613212686088,30.3408451"
585,1117,21,16417,"60.001613212686088,30.3408451"
586,1117,21,16420,"60.003214775335969,30.3299923"
587,1117,21,16420,"60.003214775335969,30.3299923"
588,1117,21,16202,"60.005468442173949,30.3269424"
589,1117,21,16202,"60.005468442173949,30.3269424"
590,1117,21,16207,"60.010760540813685,30.3248215"
591,1117,21,16207,"60.010760540813685,30.3248215"
592,1117,21,16211,"60.016655965536614,30.3224468"
593,1117,21,16211,"60.016655965536614,30.3224468"
594,1117,21,16097,"60.020652786347107,30.3208485"
595,1117,21,16097,"60.020652786347107,30.3208485"
596,1117,21,16102,"60.023441059155111,30.3197289"
597,1117,21,16102,"60.023441059155111,30.3197289"
598,1117,21,16104,"60.031770348158524,30.3204327"
599,1117,21,16104,"60.031770348158524,30.3204327"
600,1117,21,16108,"60.036935431529379,30.3232288"
601,1117,21,16108,"60.036935431529379,30.3232288"
602,1117,21,16111,"60.043470799471379,30.3280201"
603,1117,21,16111,"60.043470799471379,30.3280201"
604,1117,21,16254,"60.046973306195198,30.330616"
605,1117,21,16254,"60.046973306195198,30.330616"
606,1117,21,16266,"60.052286039431927,30.3345547"
607,1117,21,16266,"60.052286039431927,30.3345547"
608,1117,21,16276,"60.056261505109184,30.3375072"
609,1117,21,16276,"60.056261505109184,30.3375072"
610,1117,21,16284,"60.059247903622776,30.3436794"
611,1117,21,16284,"60.059247903622776,30.3436794"
612,1117,21,16294,"60.05645924304509,30.3375072"
613,1117,21,16294,"60.05645924304509,30.3375072"
614,1117,21,16304,"60.053257788378502,30.3351307"
615,1117,21,16304,"60.053257788378502,30.3351307"
616,1117,21,16311,"60.04734161053247,30.3307457"
617,1117,21,16311,"60.04734161053247,30.3307457"
618,1117,21,16314,"60.044217713765043,30.3284302"
619,1117,21,16314,"60.044217713765043,30.3284302"
620,1117,21,16049,"60.036478316699451,30.322691"
621,1117,21,16049,"60.036478316699451,30.322691"
622,1117,21,16053,"60.031872702435415,30.320282"
623,1117,21,16053,"60.031872702435415,30.320282"
624,1117,21,16057,"60.023751611089651,30.3194427"
625,1117,21,16057,"60.023751611089651,30.3194427"
626,1117,21,16061,"60.021045274712968,30.3204803"
627,1117,21,16061,"60.021045274712968,30.3204803"
628,1117,21,24336,"60.0179666756583,30.3217201"
629,1117,21,24336,"60.0179666756583,30.3217201"
630,1117,21,16139,"60.011081453751991,30.3245201"
631,1117,21,16139,"60.011081453751991,30.3245201"
