,№,Официальное наименование,Координаты,Район,Количество маршрутов
47,3275,Ул. Нахимова,"59.943043216262318,30.2310734",Василеостровский,2
48,3276,Ул. Дудко,"59.887662780438987,30.4422283",Невский,2
49,3277,Малый пр. В.О,"59.938318515416313,30.2332039",Василеостровский,2
50,3278,"Конечная станция ""Пл. Репина""","59.917643028196053,30.2789078",Приморский,1
51,3280,Ул. Крупской,"59.891240047934801,30.4402885",Невский,2
52,3281,Гаванская ул,"59.937747126529302,30.2373295",Василеостровский,2
53,3282,Ул. Шаврова,"60.023154393240759,30.2311783",Приморский,2
54,3283,Ул. Ткачей. ДК им. Крупской,"59.894498315611607,30.4373894",Невский,2
55,3284,Шкиперский проток,"59.934061944947416,30.2389698",Василеостровский,2
56,3285,Дом детского творчества,"60.021413868238803,30.233242",Приморский,2
57,3286,Средний пр. В.О,"59.931957409668541,30.2400513",Василеостровский,2
58,3287,Невский рынок,"59.901709222818511,30.4253845",Невский,2
59,3288,28-29-я линии В.О,"59.934342539562444,30.2489796",Василеостровский,2
60,3289,Школа,"60.01757415073476,30.2377701",Приморский,2
61,3290,Невский завод,"59.904384225409196,30.4214172",Невский,2
62,3291,22-23-я линии В.О,"59.937032021177465,30.2578106",Василеостровский,2
63,3292,Долгоозёрная ул,"60.013839810986504,30.2421246",Приморский,2
64,3293,Музей городского наземного транспорта,"59.938493009461354,30.2627449",Василеостровский,1
65,3295,Пл. Тургенева,"59.917934032394669,30.2889347",Адмиралтейский,3
66,3296,"ДК ""Невский""","59.906124060222361,30.4183102",Невский,3
67,3297,Ул. Ильюшина,"60.008872553765649,30.2479744",Приморский,2
68,3298,12-13-я линии В.О,"59.940802402975578,30.2707024",Василеостровский,1
69,3299,Лермонтовский пр,"59.919501987575536,30.2945385",Адмиралтейский,3
70,3300,"Ст. метро ""Василеостровская""","59.942920060991653,30.2780895",Василеостровский,1
71,3301,Слободская ул,"59.915013603994652,30.403307",Красногвардейский,3
72,3302,1-я и Кадетская линии В.О,"59.945075212184449,30.2853222",Василеостровский,1
73,3303,Ул. Профессора Качалова,"59.917013080955719,30.4014492",Красногвардейский,3
74,3304,"Ст. метро ""Озерки""","60.036478316699451,30.322691",Выборгский,4
75,3305,"Ст. метро ""Спортивная""","59.95132093834242,30.2937984",Петроградский,1
76,3306,Поклонная гора,"60.031872702435415,30.320282",Выборгский,3
77,3307,"Ст. метро ""Площадь Александра Невского""","59.924811259426697,30.3881264",Невский,4
78,3308,Олонецкая ул,"60.023751611089651,30.3194427",Выборгский,3
79,3309,Зверинская ул,"59.951649268165596,30.3059254",Петроградский,1
80,3310,Рашетова ул,"60.021045274712968,30.3204803",Выборгский,3
81,3311,Троицкий пр,"59.915862711664943,30.2992821",Адмиралтейский,1
82,3313,Стародеревенская ул,"59.984424828863737,30.2443447",Приморский,2
83,3314,Введенская ул,"59.954781918325125,30.3077927",Петроградский,1
84,3315,1-я Красноармейская ул,"59.915955153527598,30.3094082",Центральный,1
85,3316,Республиканская ул,"59.933350182105642,30.4076672",Красногвардейский,2
86,3317,"Ст. метро ""Технологический институт""","59.916044171374232,30.3175716",Центральный,1
87,3318,Сытный рынок,"59.956378908758779,30.3110447",Петроградский,1
88,3319,"Витебский вокзал. Ст. метро ""Пушкинская""","59.92055295536597,30.3285713",Центральный,1
89,3320,Ул. Помяловского,"59.936635113945094,30.4080811",Красногвардейский,2
90,3321,"Ст. метро ""Горьковская""","59.956573825233434,30.3188992",Петроградский,1
91,3322,"Ст. метро ""Звенигородская""","59.922932059165198,30.3343964",Центральный,1
92,3324,Красногвардейская пл,"59.941356633487153,30.4086609",Красногвардейский,2
93,3326,Ул. Марата,"59.919947026859063,30.3391991",Центральный,1
94,3327,"Ст. метро ""Удельная""","60.016744713174724,30.3185921",Выборгский,1
95,3328,Горохов пер,"59.984397495230205,30.2489147",Приморский,2
96,3329,Среднеохтинский пр,"59.944240535328433,30.4129543",Красногвардейский,2
97,3331,Социалистическая ул,"59.921182835418932,30.3446045",Центральный,1
98,3333,"Гостиница ""Санкт-Петербург""","59.958088663315301,30.3425045",Красногвардейский,1
99,3334,Шепетовская ул,"59.946853961602478,30.4142628",Красногвардейский,2
100,3336,Разъезжая ул,"59.922552098636878,30.3494606",Центральный,1
101,3339,"Большая Пороховская ул., 21","59.953376366284921,30.4165573",Красногвардейский,1
102,3341,"Ст. метро ""Лиговский проспект""","59.921395074917747,30.3544159",Невский,3
103,3343,Пл. Военных Медиков,"59.959111054389901,30.347084",Центральный,1
104,3345,Ул. Академика Лебедева,"59.95814337400445,30.3524494",Калининский,1
